key	text
Purpose1	Lighthouseは、シーン管理をコアに据えた\nUnity アプリケーションフレームワークです。\nゲーム開発に必要な基盤を一式提供し、\nあなたのプロダクトを加速させます。
Purpose2	あなたはゲームのコンテンツ制作に集中できます。\n\nシーン遷移、ダイアログ、ローカライズなど\nゲームの本質ではないが不可欠な部分を、\nLighthouse が包括的にフォローします。\n\n自動生成機能、テンプレート、プリセットにより、初日からすぐに動き出せます。
Purpose3	理念 — なぜ Lighthouse を作ったのか
Purpose4	業務としてこのフレームワークを採用するメリットは大きく2つです。\n\n1. 即戦力になる基盤の入手\nシーン管理、スクリーンスタック、UIアニメーション、ローカライズはすぐに利用可能です。\nすべてDIで管理されているため、プロダクトに合わせたカスタマイズを"後から対応可能"にします。\n\nこれによりプロジェクトワークフロー上、\nエンジニア依存のボトルネックが消えることで工程の依存が減り、\n開発計画が加速し、メンバー増員時もスムーズに立ち上げられる体制が整います。\n\n2. チームの習熟度に関わらず品質を維持できます\nLighthouseはライフサイクルと規律を提供します。\nジュニアエンジニアでも迷わず実装でき、\nシニアエンジニアはその規律の範囲を自分たちのプロダクトに合わせて調整できます。
Purpose5	インディーズとしてこのフレームワークを採用するメリットは1つです。\n\n「オリジナルゲーム作りたいのに、どうでもいいことに時間を取られること」がなくなります。\nシーン管理も、ダイアログも、ローカライズも、Lighthouse がやります。
