key	text
Purpose1	Lighthouseは、中規模から大規模プロジェクト向けの包括的なフレームワークアーキテクチャです。\n\nシーン管理をコアとし、ゲーム開発に必要な様々な拡張機能を提供します。
Purpose2	さらに、Unity初心者、インディー開発者、プロジェクト立ち上げ直後のメンバーがすぐに使えるよう、自動生成機能、テンプレート、プリセットを搭載しました。\n\nLighthouseは、シーン遷移、ダイアログ、ローカライズなど、ゲームの本質とは関係ない部分をフォローします。\n\nあなたはゲームのコンテンツ制作に集中できます。
Purpose3	理念
Purpose4	ビジネスとしてこのアーキテクチャフレームワークを採用するメリットは大きく分けて2つあります。\n\n1つ目はシーン管理、統合されたスクリーンスタック、開発・デザイナー・プランナーの作業が被らないためのワークフローに必要なUIアニメーションツール、ローカライズツールが今すぐ手に入ります。\nそしてこれらはDIによって管理されているため、プロダクトごとにカスタマイズしたりテストが可能です。\n\n2つ目はエンジニアの能力の差を許容するフレームワークであるということです。\nあなたのチームにはおそらくシニアエンジニアとジュニアエンジニアが混ざっているでしょう。\nDIを利用する上での保守性や依存関係の妥当性の判断は非常に難しく、それがジュニアエンジニアだったら尚更です。\nしかしLighthouseでは既にライフサイクルが確立していて、自動生成やツールのサポートによってそれらのリスクは最小限に収まります。\nそしてその「窮屈さ」はシニアエンジニアであるあなたが調整出来るようになっています。
Purpose5	インディーズとしてこのアーキテクチャフレームワークを採用するメリットは1つです。\n\nだってバカらしいでしょ、オリジナルゲーム作りたいのにどうでもいいことに時間を取られるなんて。
